[UTIL]   running in SA mode (no --phy-test, --do-ra, --nsa option present)
UE f8de: ulsch_rounds 1654, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          18315 RX         191284 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 167, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1667, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          18426 RX         192792 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 168, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1682, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          18537 RX         194532 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 170, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1695, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          18759 RX         196040 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 171, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1707, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          18870 RX         197432 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 172, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1720, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          18981 RX         198940 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 173, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1733, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          19092 RX         200448 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 175, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1747, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          19314 RX         202072 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 176, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1760, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          19425 RX         203580 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 177, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1773, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          19536 RX         204972 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 178, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1786, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          19647 RX         206596 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 180, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1801, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          19869 RX         208220 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 181, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1814, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          19980 RX         209844 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 182, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1827, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          20091 RX         211352 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 184, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1839, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          20313 RX         212744 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 185, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1852, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          20424 RX         214252 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 186, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1865, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          20535 RX         215760 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 187, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1879, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          20646 RX         217384 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 189, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1893, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          20868 RX         219008 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 190, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1905, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          20979 RX         220400 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 191, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1918, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          21090 RX         221908 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 193, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1931, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          21312 RX         223416 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 194, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1945, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          21423 RX         225040 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 195, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1958, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          21534 RX         226548 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 196, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1971, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          21645 RX         228056 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 198, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1984, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          21867 RX         229564 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 199, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 1997, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          21978 RX         231072 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 200, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2010, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          22089 RX         232580 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 202, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2023, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          22311 RX         234088 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 203, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2035, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          22422 RX         235480 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 204, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2049, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          22533 RX         236988 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 205, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2063, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          22644 RX         238728 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 207, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2078, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          22866 RX         240468 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 208, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2092, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          22977 RX         242092 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 209, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2106, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          23088 RX         243716 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 210, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2120, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          23199 RX         245224 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 212, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2133, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          23421 RX         246848 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 213, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2146, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          23532 RX         248356 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 214, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2159, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          23643 RX         249864 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 216, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2171, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          23865 RX         251256 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 217, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2184, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          23976 RX         252764 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 218, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2197, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          24087 RX         254272 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 896.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 219, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2211, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          24198 RX         255780 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 0.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 221, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2224, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          24420 RX         257404 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 128.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 222, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2237, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          24531 RX         258912 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 256.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 223, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2250, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          24642 RX         260420 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 384.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 225, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2263, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          24864 RX         261928 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 512.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 226, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2276, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          24975 RX         263436 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 640.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
UE f8de: dlsch_rounds 227, dlsch_errors 0, pucch0_DTX 0, BLER 0.00000 MCS (0) 9
UE f8de: ulsch_rounds 2290, ulsch_errors 0, ulsch_DTX 0, BLER 0.00000 MCS (0) 9 (Qm 2 deltaMCS 0 dB) NPRB 5  SNR 51.0 dB
UE f8de: MAC:    TX          25086 RX         264944 bytes
UE f8de: LCID 1: TX             15 RX            200 bytes

[0m[NR_MAC]   Frame.Slot 768.0
UE RNTI f8de CU-UE-ID 1 in-sync PH 45 dB PCMAX 20 dBm, average RSRP -44 (32 meas)
